Swedish,English
Underlivsblödning,Abdominal bleeding
Underlivsbesvär - man,Abdominal complaints - man
Underlivsbesvär - pojke,Abdominal discomfort - boy
Underlivsbesvär - flicka,Abdominal discomfort - girl
Underlivsbesvär - kvinna,Abdominal discomfort - woman
Buksmärta - vuxen,Abdominal pain - adult
Buksmärta - barn,Abdominal pain - children
Abortrelaterade besvär,Abortion-related problems
Utebliven avföring - barn,Absence of bowel movements - children
Administrativ åtgärd,Administrative action
Allergiska symtom,Allergic symptoms
Analbesvär,Anal discomfort
Armbesvär,Arm discomfort
Armskada,Arm injury
Rytmrubbning i hjärtat,Arrhythmia in the heart
Ryggskada,Back injury
Ryggbesvär - vuxen,Back problems - adult
Ryggbesvär - barn,Back problems - children
Bett av djur,Bitten by animals
Bett av människa,Bitten by human
Blödning under graviditet,Bleeding during pregnancy
Blåsor och sår runt munnen,Blisters and sores around the mouth
Blod i avföringen - vuxen,Blood in the stool - adult
Blod i avföringen - barn,Blood in the stool - children
Blodtryck - uppmätt högt hos vuxna,Blood pressure - measured high in adults
Blodtryck - uppmätt lågt hos vuxen,Blood pressure - measured low in adult
"Blodsocker, uppmätt högt","Blood sugar, measured high"
"Blodsocker, uppmätt lågt","Blood sugar, measured low"
Blodig upphostning,Bloody expectoration
Slag mot huvudet - vuxen,Blow to the head - adult
Slag mot huvudet - barn,Blow to the head - child
Böld,Boil
Amnings- och uppfödningsbesvär - sp,Breastfeeding and breeding problems - sp
Amningsbesvär - förälder,Breastfeeding problems - parent
Blåmärke,Bruise
Brännskada,Burn
Bränd av manet i svenska vatten,Burnt by jellyfish in Swedish waters
Bröstkorgsskada,Chest injury
Bröstsmärta,Chest pain
Förlossningsrelaterade besvär,Childbirth related problems
Oro för sexuell ohälsa,Concerns about sexual ill health
Förvirring,Confusion
Kontaktlinsrelaterade besvär,Contact lens-related problems
"Nedkylning, köldskada","Cooling down, frostbite"
Hosta - vuxen,Cough - adult
Hosta - barn,Cough - child
Skrik hos små barn,Crying in small children
Nedsatt aptit,Decreased appetite
Vanföreställningar eller hallucinat,Delusions or hallucinations
Tandbesvär,Dental problems
Nedstämdhet,Depression
Diarré - vuxen,Diarrhea - adult
Diarré - barn,Diarrhea - children
Diarré - spädbarn (0-12 månader),Diarrhea - infants (0-12 months)
Sväljningsbesvär,Difficulty swallowing
Besvär efter tandbehandling,Discomfort after dental treatment
Dykrelaterade besvär,Diving related problems
Yrsel,Dizziness
Öronskada,Ear damage
Öronbesvär - barn,Ear problems - children
Öronbesvär - vuxen,Ear trouble - adult
Ätstörning,Eating disorder
Elskada,Electrical damage
Erektionsrelaterade besvär,Erection-related problems
Ögonskada,Eye damage
Ögonbesvär - vuxen,Eye problems - adult
Ögonbesvär - barn,Eye problems - children
Ögonlocksbesvär,Eyelid discomfort
Ansiktsbesvär - hud,Facial complaints - skin
Ansiktsbesvär,Facial discomfort
Ansiktsskada,Facial injury
Utebliven avföring - vuxen,Failure to pass stool - adult
Trötthet,Fatigue
Avföring hos spädbarn (0-12 månader,Feces in infants (0-12 months
Feber - vuxen,Fever - adult
Feber - barn,Fever - child
Fot- och fotledsskada,Foot and ankle injury
Fot- och fotledsbesvär - vuxen,Foot and ankle problems - adult
Fot- och fotledsbesvär - barn,Foot and ankle problems - children
Främmande kropp i matstrupe eller m,Foreign body in esophagus or m
Främmande kropp i underlivet,Foreign body in the abdomen
Främmande kropp i luftvägarna,Foreign body in the airways
Främmande kropp i örat,Foreign body in the ear
Främmande kropp i ändtarmen,Foreign body in the rectum
Gasbesvär,Gas discomfort
Allmän medicinsk information,General medical information
Ljumskbesvär,Groin discomfort
Tandköttsbesvär,Gum disease
Gipsrelaterade besvär,Gypsum-related problems
Håravfall,Hair loss
Handbesvär,Hand discomfort
Handskada,Hand injury
Huvudvärk - vuxen,Headache - adult
Huvudvärk - barn,Headache - children
Hörselförändring,Hearing change
Halsbränna,Heartburn
Hicka,Hiccup
Höft- och bäckenskada,Hip and pelvic injury
Höft- och bäckenbesvär - vuxen,Hip and pelvic problems - adult
Höft- och bäckenbesvär - barn,Hip and pelvic problems - children
Heshet,Huskiness
Ökad törst,Increased thirst
Bett eller stick av insekt,Insect bite or sting
Klåda,Itching
Käkbesvär,Jaw discomfort
Led- och muskelbesvär - vuxen,Joint and muscle problems - adult
Led- och muskelbesvär - barn,Joint and muscle problems - children
Knäskada,Knee injury
Knäbesvär - vuxen,Knee pain - adult
Knäbesvär - barn,Knee problems - children
Ben- och fotsvullnad,Leg and foot swelling
Ben- och fotsår,Leg and foot ulcers
Benskada,Leg injury
Benbesvär - vuxen,Leg pain - adult
Benbesvär - barn,Leg problems - children
Medvetandeförlust,Loss of consciousness
Låg kroppstemperatur,Low body temperature
Bröstkörtelbesvär,Mammary gland problems
Mask,Mask
Läkemedelsfråga,Medicine question
Minnesstörning,Memory disorder
Klimakteriebesvär,Menopausal symptoms
Utebliven mens,Missed period
Munskada,Mouth injury
Nagelskada,Nail damage
Nagelbesvär,Nail problems
"Nästäppa, snuva","Nasal congestion, runny nose"
Nackskada,Neck injury
Halsskada,Neck injury
Nackbesvär,Neck pain
Näsblödning,Nosebleed
Luktförändring,Odor change
Munhålebesvär,Oral problems
Övrig,Other
Övervikt,Overweight
Mensrelaterade besvär,Period related problems
Piercingrelaterade besvär,Piercing-related problems
Förgiftningstillbud - vuxen,Poisoning incident - adult
Förgiftningstillbud - barn,Poisoning incident - children
Postoperativ blödning från underliv,Postoperative bleeding from the abdomen
Postoperativa besvär,Postoperative complications
Graviditetsbesvär,Pregnancy complaints
Utslag - vuxen,Rash - adult
Utslag - barn,Rash - children
Andningsbesvär - vuxen,Respiratory problems - adult
Andningsbesvär - barn,Respiratory problems - children
Hårbottenbesvär,Scalp problems
Krampanfall,Seizures
Axelskada,Shoulder injury
Axelbesvär,Shoulder pain
Bihålebesvär,Sinus problems
Hud och skalle hos barn (0-6 månade,Skin and skull in children (0-6 months
Hudförändring,Skin change
"Hud hos barn, 0-6 månader","Skin in children, 0-6 months"
Sömnbesvär - vuxen,Sleep problems - adult
Sömnbesvär - barn,Sleep problems - children
Bett av orm,Snake bite
Halsont,Sore throat
Stick av fjärsing,Stick off fjærning
Stickningar och myrkrypningar,Stinging and crawling
Avföringsförändring,Stool change
Sol- och värmebesvär,Sun and heat problems
Stödsamtal,Support call
Svettningar,Sweating
Smakförändring,Taste change
Tatueringsrelaterade besvär,Tattoo-related problems
Bett av fästing,Tick ​​bite
Tandskada - mjölktänder,Tooth damage - baby teeth
Tandskada - permanenta tänder,Tooth damage - permanent teeth
Skakningar,Tremors
Knöl,Tuber
Undervikt,Underweight
Urininkontinens - barn,Urinary incontinence - children
Urininkontinens - kvinna,Urinary incontinence - female
Urininkontinens - man,Urinary incontinence - male
Urinvägsbesvär - barn,Urinary tract problems - children
Urinvägsbesvär - man,Urinary tract problems - male
Urinvägsbesvär - kvinna,Urinary tract problems - woman
Urinförändring - mängd,Urine change - amount
Urinförändring - utseende och lukt,Urine change - appearance and smell
Synförändring,Vision change
Kräkning - spädbarn (0-12 månader),Vomiting - infants (0-12 months)
Kräkning och illamående - vuxen,Vomiting and nausea - adult
Kräkning och illamående - barn,Vomiting and nausea - children
Viktuppgång eller övervikt,Weight gain or overweight
Viktnedgång,Weight loss
Viktnedgång eller undervikt,Weight loss or underweight
Bortfallssymtom,Withdrawal symptoms
"Oro, ångest","Worry, anxiety"
Sårskada,Wound damage
Sår med infektionstecken,Wounds with signs of infection
Handledsskada,Wrist injury
Handledsbesvär,Wrist pain
